A Beautiful Mind:	 75, 93
Lagaan: Once Upon a Time in India:	 95, 93
I Am Sam:	 35, 86
Phenomenon:	 50, 59
Turner and Hooch:	 54, 51
Atlantis - The Lost Empire:	 49, 52
Baby's Day Out:	 20, 51
Billy Madison:	 46, 79
The Manhattan Project:	 47, 46
The Boondock Saints:	 20, 91
Waking Life:	 80, 87
Donnie Darko:	 86, 80
The Five Heartbeats:	 35, 95
Less Than Zero:	 54, 63
Asoka:	 100, 68
Ali:	 67, 65
Jude:	 81, 73
Wet Hot American Summer:	 33, 76
American Pie 2:	 52, 67
Don't Be a Menace to South Central While Drinking Your Juice in The Hood:	 32, 80
Thursday:	 33, 81
The Day the Earth Stood Still:	 94, 87
The Land Before Time III: The Time of Great Giving:	 60, 39
Tarzan & Jane:	 17, 30
Inspector Gadget 2:	 40, 21
Grease:	 74, 87
The Money Pit:	 47, 58
Can't Buy Me Love:	 50, 74
Lilo & Stitch:	 86, 77
To Wong Foo, Thanks for Everything! Julie Newmar:	 41, 71
E.T. The Extra-Terrestrial:	 98, 72
Innerspace:	 82, 65
Scooby-Doo:	 30, 38
Blue Crush:	 61, 58
Honey, We Shrunk Ourselves!:	 25, 27
XXX:	 48, 58
K-9: P.I.:	 0, 37
Tadpole:	 78, 56
The Lord of the Rings: The Fellowship of the Ring:	 91, 95
Amélie:	 89, 95
Trading Places:	 86, 84
The Ref:	 71, 73
Alive:	 67, 68
Cocktail:	 5, 58
Blade II:	 57, 68
Queen of the Damned:	 17, 66
Cinema Paradiso (Nuovo Cinema Paradiso):	 90, 97
Our Song:	 91, 81
Y Tu Mama Tambien:	 92, 88
Sunset Boulevard:	 98, 95
In Like Flint:	 75, 51
Little Dieter Needs to Fly: Escape from Laos:	 93, 94
Hit and Runway:	 32, 17
Piglet's Big Movie:	 71, 63
Chicago:	 85, 83
How to Lose a Guy in 10 Days:	 42, 77
Holes:	 78, 76
Jaws 3:	 10, 17
Good Burger:	 32, 63
Daddy Day Care:	 27, 48
Two Weeks Notice:	 42, 59
Deceived:	 39, 42
Red Dragon:	 68, 74
Gangs of New York:	 74, 81
Once Upon a Time in America:	 86, 94
Cube:	 62, 76
8 Mile:	 76, 54
Nobody's Fool:	 91, 81
Comedian:	 77, 69
Punch-Drunk Love:	 80, 77
Anger Management:	 43, 60
Paid in Full:	 53, 93
Lost in La Mancha:	 94, 77
El Mariachi:	 93, 76
Cube 2 - Hypercube:	 45, 35
An Innocent Man:	 38, 46
The Breakfast Club:	 88, 92
Brubaker:	 74, 73
Biggie and Tupac:	 81, 73
Boat Trip:	 7, 35
Sex and Lucia:	 71, 85
The Desert Fox:	 71, 62
Brother's Keeper:	 100, 88
Casper:	 44, 49
The Brave Little Toaster Goes to Mars:	 40, 45
The Santa Clause 2:	 55, 42
An American Tail:	 69, 71
An American Tail - Fievel Goes West:	 45, 61
Pirates of the Caribbean: The Curse of the Black Pearl:	 79, 86
Whale Rider:	 91, 88
The Italian Job:	 73, 80
The Great Gatsby:	 38, 47
Spy Kids 3-D - Game Over:	 45, 24
Mona Lisa Smile:	 34, 60
Bruce Almighty:	 49, 57
Deceived:	 39, 42
George Of The Jungle 2:	 17, 19
Rugrats Go Wild:	 40, 38
Looney Tunes: Back in Action:	 56, 50
Christmas Carol - The Movie:	 20, 48
Bogus:	 40, 45
Carpool:	 13, 39
Schindler's List:	 97, 97
Terminator 3 - Rise of the Machines:	 70, 46
Hoffa:	 54, 59
Cabin Fever:	 63, 44
Invasion of the Bee Girls:	 43, 34
The Good Son:	 27, 54
Where the Day Takes You:	 80, 75
Melvin Goes to Dinner:	 100, 80
The Chase:	 80, 74
Cannes Man:	 50, 45
